"dataset","formato","URLdataset","URLsezione","tracciaRecordAttributi","UbicazionePresenzaAttributo","IndirizzoCompletoPresenzaAttributo","DatiCatastaliPresenzaAttributo","SuperficiePresenzaAttributo","PeriodoCostruzionePresenzaAttributo","ValoreAttualePresenzaAttributo","NonPubblicato","PubblicatoMale","URIdbpediaEnte"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareFermo","http://trasparenza.nexacenter.org/id/Xls","http://www.comune.fermo.it/it/4823/","http://www.comune.fermo.it/it/patrimonio-immobiliare/","FABBRICATO , DESTINAZIONE PREVALENTE , UBICAZIONE , UNITÀ IMMOBILIARE , CONDIZIONE GIURIDICA , SUP MQ , TIPO CATASTO , FOGLIO , MAPPALE , SUB , COMUNE CATASTALE , COMUNE AMM.VO , CONSISTENZA , CATEGORIA , RENDITA CATASTALE , VALORE CATASTALE",1,1,1,1,0,1,,,"http://it.dbpedia.org/resource/Fermo"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareFerrara","http://trasparenza.nexacenter.org/id/Ods","http://www.comune.fe.it/attach/trasparenza/docs/patrimonio/inventario_complessi_2012_rev1_classa-b-c_pubblicazione.ods","http://www.comune.fe.it/index.phtml?id=3694","cod_interno , denominazione ,	indirizzo ,	num_civico ,	località ,	circoscrizione ,	superficie_complessiva_lorda ,	classificazione_patrimoniale ,	Valore di inventario",1,0,0,1,0,1,,,"http://it.dbpedia.org/resource/Ferrara"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareFirenze","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.fi.it/materiali/trasparenza/Patrimonio_immobiliare_comune_di_firenze.pdf","http://www.comune.fi.it/export/sites/retecivica/comune_firenze/Amministrazione_Trasparente/Beni_immobili.html","Entità, Comune, Indirizzo, N° civico, Foglio, Particella, Subalterno, Categoria, Descrizione catastale",1,1,0,0,0,0,,,"http://it.dbpedia.org/resource/Firenze"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareForl-C3-AC","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.forli.fc.it/servizi/gestionedocumentale/visualizzadocumento.aspx?ID=31089","http://www.comune.forli.fc.it/servizi/menu/dinamica.aspx?idArea=166672&idCat=166728&ID=166777","Nominativo Soggetto/Tipologia Utilizzo Immobile , Ubicazione Immobile Via/Piazza",1,0,0,0,0,0,,,"http://it.dbpedia.org/resource/Forl%C3%AC"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareMonza","http://trasparenza.nexacenter.org/id/Csv","http://www.comune.monza.it/portale/DOCUMENTI/comunemonza/trasparenza/Elenco_immobili_2013.csv","http://www.comune.monza.it/portale/monzacomune/amministrazione_trasparente/beni_immobili/patrimonio_immobiliare","Natura del bene , Stato di accatastamento , Localizzazione Geografica , Indirizzo , Numero civico , Denominazione del bene , ""Foglio Catasto (Ordinario)"" , Particella/Mappale Catasto (Ordinario) , Subalterno , ""Immobile/terreno in comproprietà"" ,	Tipologia immobile , Tipologia terreno , Utilizzo del bene immobile , Finalità (Fabbricati) , Finalità (Terreni) , Altra Finalità , Natura giuridica del bene , Superficie (mq) , Superficie aree pertinenziali (mq) , Valore di bilancio dell'unità immobiliare/terreno , Epoca di costruzione dell'immobile , Vincolo culturale Paesaggistico , Terreno edificabile , ""Diritti di superficie  esistenti a favore di terzi"" , Iscrizione di ipoteche sul bene",1,1,1,1,1,1,,,"http://it.dbpedia.org/resource/Monza"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareNapoli","http://trasparenza.nexacenter.org/id/Csv","http://www.comune.napoli.it/flex/cm/pages/ServeAttachment.php/L/IT/D/8%252F8%252F8%252FD.10fd98deda06e6c95a2c/P/BLOB%3AID%3D22102","http://www.comune.napoli.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/22102","Codice Identificativo Immobile, Tipologia dell'Immobile, Struttura dell'Immobile, TIPO_VIA, DESCRIZIONE_VIA, CIVICO, CAP, COMUNE, SCALA, PIANO, INTERNO, QUARTIERE, MUNICIPALITA",1,1,0,0,0,0,,,"http://it.dbpedia.org/resource/Napoli"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareNuoro","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.nuoro.it/media/downloads/AmmTrasparente/PatrimonioImmobiliare/Tabella3_ElencoTerreni_ProprietaComunale.pdf","http://www.comune.nuoro.it/index.php/Beni_immobili_e_gestione_patrimonio/Patrimonio_immobiliare/6572/Beni_immobili_di_propiet%C3%A0_comunale.htm","Natura bene , Stato , Indirizzo , Cod. Comune , Sezione ,  Sez. Urbana , Foglio , Particella , Denom.  ,  Tipo particella , Sub.",1,1,1,0,0,0,,,"http://it.dbpedia.org/resource/Nuoro"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareOlbia","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.olbia.ot.it/index.php?option=com_docman&task=doc_download&gid=4719&Itemid=447","http://www.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_sardegna/_olbia/140_ben_imm_ges_pat/010_pat_imm/","Gruppo , Categoria , Nr. Cespite , Nr. Inventario , Descrizione , Resp. di Servizio , Costo Storico",1,0,1,1,1,1,,,"http://it.dbpedia.org/resource/Olbia"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareTaranto","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.gazzettaamministrativa.it/opencms/export/sites/default/_gazzetta_amministrativa/amministrazione_trasparente/_puglia/_taranto/140_ben_imm_ges_pat/010_pat_imm/2014/0001_Documenti_140654483126/1406616431328_trasparenza_-_elenco_immobili_di_proprie","http://www.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_puglia/_taranto/140_ben_imm_ges_pat/010_pat_imm/","Destinazione , Foglio , P.lla , Sub.",0,0,1,0,0,0,,,"http://it.dbpedia.org/resource/Taranto"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareTempioPausania","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.tempiopausania.ot.it/attachments/article/1872/3%20-%20Patrimonio%20immobiliare%20comunale.PDF","http://www.comune.tempiopausania.ot.it/index.php?option=com_content&view=category&id=379&Itemid=139","Natura Bene, Stato, Indirizzo Completo, Cod., Comune Sezione, Sezione Urbana, Foglio ,Particella Denom., Tipo Particella, Sub",1,0,1,0,0,0,,,"http://it.dbpedia.org/resource/Tempio_Pausania"
